Plot,Level (7b),lime_finegrained,lime_coarse,silt,shale,cephalopods,stromatoporoids,favositids,halycititids,heliolithids,coral_encrusting,syringoporids,coral_unidentified,rugcor,bryozoans,brach_unidentified,pentamerus_oblongus,atrypids,gastropod,trilobites,crinoids,chondrites,nodulites,dolmichnia_A,tracefossils_other
5A,"0,05",2,29,52,5,0,6,+,1,0,3,0,+,+,0,+,2,0,+,0,+,0,0,0,1
5B,"0,05",0,39,32,21,0,7,0,+,0,0,0,0,+,0,0,+,0,0,+,1,2,0,1,2
10A,"0,1",1,22,42,43,0,1,+,2,+,+,0,0,1,0,3,25,0,0,0,3,0,0,0,0
10B,"0,1",0,23,43,23,0,4,2,2,1,1,0,0,+,0,0,24,0,0,0,4,0,1,0,0
20A,"0,2",0,38,38,38,0,0,1,0,2,2,0,2,0,0,0,16,+,0,0,1,1,0,0,1
20B,"0,2",0,38,44,44,1,+,+,+,0,0,0,1,0,0,0,9,0,+,0,1,1,0,0,1
20C,"0,2",0,39,39,39,0,0,1,+,0,0,0,0,2,0,0,17,0,0,1,1,1,0,1,2
20D,"0,2",0,19,53,53,1,+,1,6,0,0,0,0,+,1,1,18,0,0,0,1,1,0,0,0
20E,"0,2",6,32,40,40,0,+,0,1,1,1,0,0,1,0,0,15,0,0,0,3,1,0,0,1
40A,"0,4",0,8,86,86,0,0,0,1,0,1,0,0,+,1,0,4,0,0,0,0,2,0,0,0
40B,"0,4",0,66,22,22,0,+,1,1,0,0,0,0,1,1,0,4,0,0,0,4,1,0,2,0
40C,"0,4",0,45,43,43,0,1,1,1,1,+,0,0,1,+,+,7,0,0,0,+,1,0,1,1
40D,"0,4",0,88,4,4,0,+,0,+,+,0,0,0,+,1,1,4,0,1,0,1,1,0,3,1
40E,"0,4",1,49,31,31,1,5,3,4,0,+,0,0,3,+,+,2,0,1,0,7,2,1,1,0
40F,"0,4",0,44,41,41,0,3,+,3,+,+,0,0,+,+,+,5,+,0,1,1,1,0,1,0
40G,"0,4",7,40,37,37,0,+,1,4,0,+,0,0,3,+,+,4,0,+,0,2,1,0,2,2
40H,"0,4",3,41,32,32,0,0,+,1,1,1,1,0,3,0,0,10,0,2,0,5,1,0,1,0
40I,"0,4",6,52,59,59,0,0,+,2,0,2,2,0,3,0,0,8,0,+,0,3,1,0,1,0
40J,"0,4",3,77,10,10,1,0,0,1,0,+,1,0,2,0,0,5,0,+,0,1,0,0,1,0