locality,PMO,Height (m),orientation,comment
TOV_2,236.405,"0,3",unknown,
TOV_2,236.406,"1,0",arrow,
TOV_2,236.410,"2,5",time-parallel (x),lost
TOV_2,236.417,"5,1",unknown,
TOV_2,236.421,"7,0",arrow,
TOV_2,236.423,"9,0",time-parallel (x),
TOV_2,236.426,"9,9",arrow,
TOV_2,236.430,"10,0",time-parallel (x),
TOV_2,236.439,"13,0",arrow,
TOV_2,236.447,"15,0",time-parallel (x),
TOV_2,236.449,"15,2",time-parallel (x),
TOV_2,236.450,"15,2",arrow,
TOV_2,236.460,"18,1",arrow,
TOV_2,236.464,"19,0",time-parallel (x),
TOV_2,236.468,"20,0",time-parallel (x),
TOV_2,236.473,"25,0",arrow,
TOV_2,236.477,"29,5",time-parallel (x),
TOV_2,236.483,"31,9",time-parallel (x),
TOV_2,236.492,"36,0",time-parallel (x),
TOV_2,236.497,"38,0",arrow,